index,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_COUNTRY,DEST_COUNTRY_NAME,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS,DATA_SOURCE,Code_x,Plane_Type_Text,Code_y,Plane_Group_Text,Code,Plane_Config_Text,origin_iata_code,origin_lat,origin_lon,destination_iata_code,destination_lat,destination_lon
57,0.0,1.0,28726.0,60.0,0.0,0.0,0.0,224.0,102.0,85.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,10171,1017102,30194,ADS,"Dallas, TX",TX,48.0,Texas,US,United States,74,12266,1226603,31453,IAH,"Houston, TX",TX,48.0,Texas,US,United States,74,6,620,1,2018,1,2,1,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,,,,IAH,29.98,-95.34
58,0.0,1.0,21323.0,0.0,0.0,0.0,0.0,405.0,80.0,64.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,10171,1017102,30194,ADS,"Dallas, TX",TX,48.0,Texas,US,United States,74,13061,1306106,33038,LRD,"Laredo, TX",TX,48.0,Texas,US,United States,74,6,635,2,2018,1,2,1,P,DU,635,McDonnell Douglas DC-9-15F,6,"Jet, 2-Engine",2,Freight Configuration,,,,LRD,27.544,-99.461
59,0.0,1.0,21148.0,0.0,0.0,3312.0,0.0,1353.0,226.0,207.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,10171,1017102,30194,ADS,"Dallas, TX",TX,48.0,Texas,US,United States,74,14570,1457002,34570,RNO,"Reno, NV",NV,32.0,Nevada,US,United States,85,6,635,2,2018,1,2,3,P,DU,635,McDonnell Douglas DC-9-15F,6,"Jet, 2-Engine",2,Freight Configuration,,,,RNO,39.498,-119.768
60,0.0,1.0,20995.0,0.0,0.0,0.0,0.0,89.0,64.0,37.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,10298,1029805,30298,ANB,"Anniston, AL",AL,1.0,Alabama,US,United States,51,12217,1221702,30255,HSV,"Huntsville, AL",AL,1.0,Alabama,US,United States,51,6,635,2,2018,1,2,1,P,DU,635,McDonnell Douglas DC-9-15F,6,"Jet, 2-Engine",2,Freight Configuration,ANB,33.588,-85.858,,,
61,0.0,1.0,28436.0,60.0,38.0,0.0,0.0,661.0,121.0,107.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,10529,1052906,30529,BDL,"Hartford, CT",CT,9.0,Connecticut,US,United States,11,11193,1119302,33105,CVG,"Cincinnati, OH",KY,21.0,Kentucky,US,United States,52,6,620,1,2018,1,2,2,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,BDL,41.939,-72.683,CVG,39.046,-84.662
62,0.0,2.0,56872.0,120.0,0.0,0.0,0.0,326.0,148.0,121.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,10529,1052906,30529,BDL,"Hartford, CT",CT,9.0,Connecticut,US,United States,11,12264,1226402,30852,IAD,"Washington, DC",VA,51.0,Virginia,US,United States,38,6,620,1,2018,1,2,1,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,BDL,41.939,-72.683,IAD,38.944,-77.456
63,0.0,2.0,57162.0,120.0,39.0,0.0,0.0,1345.0,471.0,446.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,10529,1052906,30529,BDL,"Hartford, CT",CT,9.0,Connecticut,US,United States,11,12278,1227805,30928,ICT,"Wichita, KS",KS,20.0,Kansas,US,United States,62,6,620,1,2018,1,2,3,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,BDL,41.939,-72.683,ICT,37.65,-97.433
64,0.0,1.0,21405.0,0.0,0.0,0.0,0.0,1850.0,250.0,224.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,10559,1055902,30559,BFI,"Seattle, WA",WA,53.0,Washington,US,United States,93,13061,1306106,33038,LRD,"Laredo, TX",TX,48.0,Texas,US,United States,74,6,635,2,2018,1,2,4,P,DU,635,McDonnell Douglas DC-9-15F,6,"Jet, 2-Engine",2,Freight Configuration,BFI,47.53,-122.302,LRD,27.544,-99.461
65,0.0,1.0,21405.0,0.0,0.0,0.0,0.0,1560.0,220.0,198.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,10559,1055902,30559,BFI,"Seattle, WA",WA,53.0,Washington,US,United States,93,15370,1537002,34653,TUL,"Tulsa, OK",OK,40.0,Oklahoma,US,United States,73,6,635,2,2018,1,2,4,P,DU,635,McDonnell Douglas DC-9-15F,6,"Jet, 2-Engine",2,Freight Configuration,BFI,47.53,-122.302,TUL,36.198,-95.888
66,0.0,1.0,28726.0,60.0,55.0,0.0,0.0,677.0,125.0,116.0,AMQ,20201.0,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4.0,10693,1069302,30693,BNA,"Nashville, TN",TN,47.0,Tennessee,US,United States,54,11049,1104902,31049,CLL,"College Station/Bryan, TX",TX,48.0,Texas,US,United States,74,6,620,1,2018,1,2,2,L,DU,620,Boeing 737-100/200,6,"Jet, 2-Engine",1,Passenger Configuration,BNA,36.124,-86.678,CLL,30.588,-96.364
